Architecture/PV (kW),Architecture/G1500,Architecture/1kWh LA,Architecture/Grid (kW),Architecture/Electrolyzer (kW),Architecture/HTank (kg),Architecture/Converter (kW),Architecture/Dispatch,Cost/NPC ($),Cost/COE ($),Cost/Operating cost ($/yr),Cost/Initial capital ($),System/Ren Frac (%),System/Total Fuel (L/yr),PV/Capital Cost ($),PV/Production (kWh/yr),G1500/Capital Cost ($),G1500/Production (kWh/yr),G1500/O&M Cost ($),1kWh LA/Autonomy (hr),1kWh LA/Annual Throughput (kWh/yr),1kWh LA/Nominal Capacity (kWh),1kWh LA/Usable Nominal Capacity (kWh),Converter/Rectifier Mean Output (kW),Converter/Inverter Mean Output (kW),Grid/Energy Purchased (kWh),Grid/Energy Sold (kWh)
50000,394,5300000,999999,400000,20000,590000,LF,7.29E+09,3.375241,1.56E+08,5.11E+09,99.52821,0,2.25E+08,5.46E+07,3.25E+09,1.62E+09,2.36E+07,3182.544,3182544,5304240,3182544,158978.7,503.7543,770897.1,1.55E+08
50000,394,5300000,999999,400000,20000,590000,CC,7.29E+09,3.364528,1.56E+08,5.11E+09,98.77218,0,2.25E+08,5.46E+07,3.25E+09,1.62E+09,2.36E+07,3182.544,6150608,5304240,3182544,159116.5,569.7887,2013002,1.55E+08
50000,394,5300000,999999,400000,30000,590000,LF,7.30E+09,3.81033,1.56E+08,5.14E+09,99.46929,0,2.25E+08,5.46E+07,3.25E+09,1.62E+09,2.36E+07,3182.544,3182544,5304240,3182544,160894,448.8774,770897.1,1.36E+08
50000,394,5300000,999999,400000,30000,590000,CC,7.30E+09,3.797769,1.56E+08,5.14E+09,98.619,0,2.25E+08,5.46E+07,3.25E+09,1.62E+09,2.36E+07,3182.544,6150608,5304240,3182544,161031.2,509.3979,2013002,1.37E+08
50000,394,5300000,999999,400000,40000,590000,LF,7.29E+09,4.120445,1.56E+08,5.17E+09,99.42831,0,2.25E+08,5.46E+07,3.25E+09,1.62E+09,2.36E+07,3182.544,3182544,5304240,3182544,161983.7,407.4388,770897.1,1.26E+08
50000,394,5300000,999999,400000,40000,590000,CC,7.29E+09,4.105758,1.56E+08,5.17E+09,98.51278,0,2.25E+08,5.46E+07,3.25E+09,1.62E+09,2.36E+07,3182.544,6150608,5304240,3182544,162120.9,467.9593,2013002,1.27E+08
50000,394,5300000,999999,400000,50000,590000,LF,7.29E+09,4.360559,1.55E+08,5.20E+09,99.39743,0,2.25E+08,5.46E+07,3.25E+09,1.62E+09,2.36E+07,3182.544,3182544,5304240,3182544,162702.7,375.2678,770897.1,1.19E+08
50000,394,5300000,999999,400000,50000,590000,CC,7.29E+09,4.344133,1.56E+08,5.20E+09,98.43275,0,2.25E+08,5.46E+07,3.25E+09,1.62E+09,2.36E+07,3182.544,6150608,5304240,3182544,162840,435.7883,2013002,1.20E+08
50000,394,5300000,999999,400000,60000,590000,LF,7.29E+09,4.567688,1.55E+08,5.23E+09,99.37137,0,2.25E+08,5.46E+07,3.25E+09,1.62E+09,2.36E+07,3182.544,3182544,5304240,3182544,163244.5,340.0926,770897.1,1.14E+08
50000,394,5300000,999999,400000,60000,590000,CC,7.29E+09,4.549703,1.55E+08,5.23E+09,98.36524,0,2.25E+08,5.46E+07,3.25E+09,1.62E+09,2.36E+07,3182.544,6150608,5304240,3182544,163381.7,400.6131,2013002,1.14E+08
50000,394,5300000,999999,400000,70000,590000,LF,7.29E+09,4.728052,1.55E+08,5.26E+09,99.35197,0,2.25E+08,5.46E+07,3.25E+09,1.62E+09,2.36E+07,3182.544,3182544,5304240,3182544,163619.2,315.5957,770897.1,1.10E+08
50000,394,5300000,999999,400000,70000,590000,CC,7.29E+09,4.708668,1.55E+08,5.26E+09,98.31509,0,2.25E+08,5.46E+07,3.25E+09,1.62E+09,2.36E+07,3182.544,6150608,5304240,3182544,163751.8,371.7347,2013002,1.11E+08
