Time,Global Solar,Generic flat plate PV Solar Altitude,Generic flat plate PV Solar Azimuth,Generic flat plate PV Angle of Incidence,Generic flat plate PV Incident Solar,Generic flat plate PV Power Output,Wind Speed,Generic 1.5 MW Power Output,Generic 1.5 MW Operating Status,AC Primary Load,AC Primary Load Served,Hydrogen Load,Grid Purchases,Grid Sales,Total Electrical Load Served,Renewable Penetration,Unmet Electrical Load,Total Renewable Power Output,Inverter Power Input,Inverter Power Output,Rectifier Power Input,Rectifier Power Output,Generic 1kWh Lead Acid Maximum Charge Power,Generic 1kWh Lead Acid Maximum Discharge Power,Generic 1kWh Lead Acid Charge Power,Generic 1kWh Lead Acid Discharge Power,Generic 1kWh Lead Acid Input Power,Generic 1kWh Lead Acid Energy Content,Generic 1kWh Lead Acid State of Charge,Generic 1kWh Lead Acid Energy Cost,Electrolyzer Input,Electrolyzer Output,Stored Hydrogen,Hydrogen Load Served,Unmet Hydrogen Load,Excess Hydrogen,AC Required Operating Capacity,DC Required Operating Capacity,AC Operating Capacity,DC Operating Capacity
,kW/m2,°,°,°,kW/m2,kW,m/s,kW,status,kW,kW,kg/hr,kW,kW,kW,%,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kWh,%,$/kWh,kW,kg/hr,kg,kg/hr,kg/hr,kg/hr,kW,kW,kW,kW
1/1/2007 12:00:00 AM,0,0,52.11681,90,0,0,6.264658,138173.8,0,875.8564,875.8564,3891,0,0,131308.9,105.2281,0,138173.8,0,0,137297.9,130433,0,1384026,0,0,0,5304240,100,0,130433,2810.74,0,2810.74,1080.26,0,70050.33,0,238173.8,1384026
1/1/2007 1:00:00 AM,0,0,-25.46578,90,0,0,5.42531,89215.01,0,846.0742,846.0742,3891,0,0,84796.56,105.2106,0,89215.01,0,0,88368.94,83950.49,0,1384026,0,0,0,5304240,100,0,83950.49,1809.074,0,1809.074,2081.926,0,45538.19,0,189215,1384026
1/1/2007 2:00:00 AM,0,0,-63.97498,90,0,0,4.931852,67712.91,0,1245.749,1245.749,3891,0,0,64389.56,105.1613,0,67712.91,0,0,66467.17,63143.81,0,1384026,0,0,0,5304240,100,0,63143.81,1360.705,0,1360.705,2530.295,0,35226.78,0,167712.9,1384026
1/1/2007 3:00:00 AM,0,0,-71.24898,90,0,0,1.658194,0,0,1533.918,1533.918,3891,0,0,1533.918,0,0,0,1614.651,1533.918,0,0,0,1384026,0,1614.651,-1614.651,5302435,99.96597,0,0,0,0,0,3891,0,1687.31,0,100000,1384026
1/1/2007 4:00:00 AM,0,0,-72.64531,90,0,0,2.304621,0,0,1540.298,1540.298,3891,0,0,1540.298,0,0,0,1621.366,1540.298,0,0,1275.817,1384026,0,1621.366,-1621.366,5300622,99.93179,0,0,0,0,0,3891,0,1694.327,0,100000,1384026
1/1/2007 5:00:00 AM,0,0,-71.89677,90,0,0,2.497973,0,0,1485.163,1485.163,3891,0,0,1485.163,0,0,0,1563.33,1485.163,0,0,2556.941,1384026,0,1563.33,-1563.33,5298874,99.89884,0,0,0,0,0,3891,0,1633.679,0,100000,1384026
1/1/2007 6:00:00 AM,0,0,-69.87199,90,0,0,2.264419,0,0,1098.846,1098.846,3891,0,0,1098.846,0,0,0,1156.68,1098.846,0,0,3696.224,1384026,0,1156.68,-1156.68,5297581,99.87446,0,0,0,0,0,3891,0,1208.73,0,100000,1384026
1/1/2007 7:00:00 AM,0,0,-66.72171,90,0,0,3.734319,30357.99,0,1055.784,1055.784,3891,0,0,24557.7,123.6191,0,30357.99,0,0,29302.21,27837.1,4335.187,1384026,4335.187,0,4335.187,5301458,99.94756,0,23501.91,506.4497,0,506.4497,3384.55,0,16340.36,0,130358,1384026
1/1/2007 8:00:00 AM,0.039,10.56785,-62.2583,72.61312,0.03884058,1650.725,3.687947,29442.83,0,1059.579,1059.579,3891,0,0,28802.95,107.9527,0,31093.55,0,0,28383.25,26964.09,871.4433,1384026,871.4433,0,871.4433,5302238,99.96226,0,27743.37,597.8501,0,597.8501,3293.15,0,15886.95,1320.58,129442.8,1385677
1/1/2007 9:00:00 AM,0.266,22.99286,-55.98796,59.08105,0.2988394,12700.67,3.277915,21350.71,0,1228.628,1228.628,3891,0,3.63798E-12,32418.04,105.0384,0,34051.39,0,0,20122.09,19115.98,627.2468,1384026,627.2468,0,627.2468,5302799,99.97283,0,31189.41,672.1098,0,672.1098,3218.89,0,12026.85,10160.54,121350.7,1396727
1/1/2007 10:00:00 AM,0.49,34.33893,-47.01994,46.06723,0.5738807,24389.93,5.159735,77350.1,0,1000.644,1000.644,3891,0,0,97471.08,104.3797,0,101740,0,0,76349.45,72531.98,451.4792,1384026,451.4792,0,451.4792,5303203,99.98045,0,96470.44,2078.87,0,2078.87,1812.13,0,39775.76,19511.95,177350.1,1408416
1/1/2007 11:00:00 AM,0.6235,43.78786,-34.02428,34.25681,0.7197709,30590.26,2.612581,0,0,1297.551,1297.551,3891,0,0,30197.01,101.3023,0,30590.26,1365.843,1297.551,0,0,324.9653,1384026,324.9653,0,324.9653,5303494,99.98592,0,28899.46,622.7629,0,622.7629,3268.237,0,1427.306,24472.21,100000,1414616
1/1/2007 12:00:00 PM,0.686,49.96121,-15.90227,25.45701,0.7827969,33268.87,2.206199,0,0,1245.23,1245.23,3891,0,0,32969.42,100.9082,0,33268.87,1310.769,1245.23,0,0,233.9033,1384026,233.9033,0,233.9033,5303702,99.98987,0,31724.19,683.634,0,683.634,3207.366,0,1369.753,26615.09,100000,1417295
1/1/2007 1:00:00 PM,0.716,51.25389,5.816062,23.39867,0.8195634,34831.45,3.462399,24991.57,0,1162.702,1162.702,3891,0,-3.63798E-12,58463.21,102.3259,0,59823.01,0,0,23828.87,22637.42,168.3587,1384026,168.3587,0,168.3587,5303853,99.99271,0,57300.51,1234.786,0,1234.786,2656.214,0,13774.75,27865.16,124991.6,1418857
1/1/2007 2:00:00 PM,0.6835,47.22009,26.09885,29.5323,0.7894246,33550.55,2.675946,0,0,1060.554,1060.554,3891,0,0,33373.55,100.5304,0,33550.55,1116.373,1060.554,0,0,121.1811,1384026,121.1811,0,121.1811,5303962,99.99475,0,32312.99,696.3222,0,696.3222,3194.678,0,1166.609,26840.44,100000,1417576
1/1/2007 3:00:00 PM,0.576,39.11392,41.46725,40.26173,0.6739361,28642.29,5.895813,115745.1,0,649.8464,649.8464,3891,0,0,138545.4,104.2167,0,144387.4,0,0,115095.2,109340.5,87.22366,1384026,87.22366,0,87.22366,5304040,99.99622,0,137895.5,2971.552,0,2971.552,919.4482,0,58587.38,22913.83,215745.1,1412668
1/1/2007 4:00:00 PM,0.416,28.53152,52.15584,52.83441,0.498446,21183.96,7.015451,192471.6,0,1113.828,1113.828,3891,0,0,204024.8,104.7203,0,213655.5,0,0,191357.7,181789.8,62.78177,1384026,62.78177,0,62.78177,5304096,99.99728,0,202911,4372.589,481.5896,3891,0,0,97460.99,16947.16,292471.6,1405210
1/1/2007 5:00:00 PM,0.1375,16.5435,59.56212,66.17317,0.1425848,6059.853,6.78362,174751.9,0,877.3412,877.3412,3891,0,0,172072.8,105.0786,0,180811.8,0,0,173874.6,165180.8,45.18901,1384026,45.18901,0,45.18901,5304136,99.99804,0,171195.5,3689.143,279.7322,3891,0,0,88341.03,4847.882,274751.9,1390086
1/1/2007 6:00:00 PM,0.002,3.744862,64.79705,79.84574,0.00197758,84.04716,4.257769,44195.65,0,1070.786,1070.786,3891,0,0,42090.93,105.2001,0,44279.7,0,0,43124.86,40968.62,32.52612,1384026,32.52612,0,32.52612,5304166,99.99859,0,41020.14,883.9551,0,1163.687,2727.313,0,23275.69,67.23773,144195.6,1384110
1/1/2007 7:00:00 PM,0,0,68.52733,90,0,0,6.825651,177714.4,0,1135.245,1135.245,3891,0,0,168862,105.2424,0,177714.4,0,0,176579.2,167750.2,23.41162,1384026,23.41162,0,23.41162,5304186,99.99899,0,167726.8,3614.395,0,3614.395,276.6055,0,90105.98,0,277714.4,1384026
1/1/2007 8:00:00 PM,0,0,71.07945,90,0,0,8.356542,287002.3,0,1227.172,1227.172,3891,0,5.82077E-11,272696.7,105.246,0,287002.3,0,0,285775.1,271486.4,16.8512,1384026,16.8512,0,16.8512,5304202,99.99927,0,271469.5,5849.977,1958.977,3891,0,0,144851,0,387002.3,1384026
